瘤痢锅龋,瘤痢疙,老矫,乞闭扁柯,弥绊扁柯,弥绊扁柯矫阿,弥历扁柯,弥历扁柯矫阿,老背瞒,墨款飘
236,何咯,2019-01-22,0.2,8.9,15:20,-5.9,07:27,",14.8",22 
236,何咯,2019-01-23,0.7,9.4,13:51,-5.9,07:26,",15.3",23 
236,何咯,2019-01-24,-1.6,8.9,15:23,-8.7,07:51,",17.6",24 
236,何咯,2019-01-25,-2.2,5.4,13:08,-7.3,02:34,",12.7",25 
236,何咯,2019-01-26,-3,4.2,15:36,-7.5,23:59,",11.7",26 
236,何咯,2019-01-27,-2.2,6.8,14:37,-10.9,07:36,",17.7",27 
236,何咯,2019-01-28,1.4,6.6,12:59,-5,23:44,",11.6",28 
236,何咯,2019-01-29,-1.9,8.3,15:40,-9.4,07:35,",17.7",29 
236,何咯,2019-01-30,1.4,9.5,14:30,-7.1,07:22,",16.6",30 
236,何咯,2019-01-31,-0.1,2.9,02:40,-6.2,22:29,",9.1",31 
236,何咯,2019-02-01,-2.8,3.8,14:34,-8.1,07:00,",11.9",32 
236,何咯,2019-02-02,0.6,9,15:24,-7.2,05:25,",16.2",33 
236,何咯,2019-02-03,4.5,7.8,13:43,2.3,02:47,",5.5",34 
236,何咯,2019-02-04,0.6,6.6,15:14,-4.6,07:32,",11.2",35 
236,何咯,2019-02-05,1.4,11.6,14:33,-6.1,07:27,",17.7",36 
236,何咯,2019-02-06,4.7,12.5,12:47,-2.9,07:19,",15.4",37 
236,何咯,2019-02-07,1,5.6,04:05,-5,22:47,",10.6",38 
236,何咯,2019-02-08,-3.1,3,14:50,-7.4,07:39,",10.4",39 
236,何咯,2019-02-09,-2.5,1.3,15:12,-5.3,23:15,",6.6",40 
236,何咯,2019-02-10,-2.3,2.7,14:17,-6.9,07:09,",9.6",41 
236,何咯,2019-02-11,-2.2,3.9,13:51,-7.6,07:15,",11.5",42 
236,何咯,2019-02-12,-0.8,5.3,15:05,-7.8,05:42,",13.1",43 
236,何咯,2019-02-13,-0.3,5,13:25,-6.2,07:22,",11.2",44 
236,何咯,2019-02-14,0.5,7.4,15:59,-4.6,06:55,",12",45 
236,何咯,2019-02-15,0.9,4.8,13:45,-2.1,01:37,",6.9",46 
236,何咯,2019-02-16,-0.8,3.4,16:00,-4.9,23:55,",8.3",47 
236,何咯,2019-02-17,-1.7,7,16:12,-8.9,06:46,",15.9",48 
236,何咯,2019-02-18,1.1,7.5,15:37,-6.2,04:29,",13.7",49 
236,何咯,2019-02-19,1.5,5,14:36,-2,23:51,",7",50 
236,何咯,2019-02-20,1.7,7,14:43,-2.5,23:51,",9.5",51 
236,何咯,2019-02-21,1.3,9.4,15:15,-5.3,07:06,",14.7",52 
236,何咯,2019-02-22,3,11,16:18,-3,06:09,",14",53 
236,何咯,2019-02-23,4.3,14.9,14:43,-4,06:28,",18.9",54 
236,何咯,2019-02-24,4.4,14.6,14:15,-3.5,06:31,",18.1",55 
236,何咯,2019-02-25,3.4,12.2,14:22,-2.3,23:47,",14.5",56 
236,何咯,2019-02-26,3.9,13.8,14:57,-5.6,07:14,",19.4",57 
236,何咯,2019-02-27,5.1,8.3,16:46,2.8,05:31,",5.5",58 
236,何咯,2019-02-28,4.3,13.3,14:12,-2.4,07:52,",15.7",59 
236,何咯,2019-03-01,4.4,13.9,14:09,-1.2,01:50,",15.1",60 
236,何咯,2019-03-02,5.7,15.2,13:53,-3.7,04:21,",18.9",61 
236,何咯,2019-03-03,7.8,15.7,13:20,-1.2,07:11,",16.9",62 
236,何咯,2019-03-04,8.2,16.3,14:42,3.7,24:00:00,",12.6",63 
236,何咯,2019-03-05,6.8,13.1,14:01,1.6,02:03,",11.5",64 
236,何咯,2019-03-06,8.7,15.6,13:19,3.6,07:44,",12",65 
236,何咯,2019-03-07,4.8,13.5,15:34,-0.3,07:16,",13.8",66 
236,何咯,2019-03-08,3.6,15.4,15:23,-4,06:31,",19.4",67 
236,何咯,2019-03-09,6.3,16.8,15:15,-4.2,06:03,",21",68 
236,何咯,2019-03-10,7.7,12.4,12:39,0.3,23:56,",12.1",69 
236,何咯,2019-03-11,4.5,9.5,13:18,-1.7,04:24,",11.2",70 
236,何咯,2019-03-12,3.2,11.2,14:27,-2.2,23:45,",13.4",71 
236,何咯,2019-03-13,1.8,9.7,13:44,-5.8,06:26,",15.5",72 
236,何咯,2019-03-14,4.7,12.4,13:48,-5.8,05:18,",18.2",73 
236,何咯,2019-03-15,6.4,11.7,14:53,1.8,21:25,",9.9",74 
236,何咯,2019-03-16,5.5,11.1,14:49,1,07:09,",10.1",75 
236,何咯,2019-03-17,5.2,13.4,14:19,-2,05:45,",15.4",76 
236,何咯,2019-03-18,4.8,14.1,15:30,-4,06:17,",18.1",77 
236,何咯,2019-03-19,7.8,18.8,14:48,-2.6,06:24,",21.4",78 
236,何咯,2019-03-20,9.7,15.3,12:20,3.1,05:08,",12.2",79 
236,何咯,2019-03-21,7.8,13.5,00:12,2.8,23:54,",10.7",80 
236,何咯,2019-03-22,3.4,9.8,15:11,-1.2,06:26,",11",81 
236,何咯,2019-03-23,3,9.4,11:51,-3.5,06:41,",12.9",82 
236,何咯,2019-03-24,3.1,10.3,12:54,-4.1,06:32,",14.4",83 
236,何咯,2019-03-25,5.2,13.1,12:40,-2.3,05:14,",15.4",84 
236,何咯,2019-03-26,10.1,19.6,15:03,0.5,02:15,",19.1",85 
236,何咯,2019-03-27,11.5,18.6,13:15,4,05:24,",14.6",86 
236,何咯,2019-03-28,9.7,17.5,14:36,4.9,07:31,",12.6",87 
236,何咯,2019-03-29,10.4,17.9,14:45,4.8,04:16,",13.1",88 
236,何咯,2019-03-30,5.9,10.5,13:48,3.2,07:00,",7.3",89 
236,何咯,2019-03-31,5.2,9.2,14:35,0.6,24:00:00,",8.6",90 
236,何咯,2019-04-01,4.4,11.3,15:22,-3.8,06:32,",15.1",91 
236,何咯,2019-04-02,5.2,13.4,13:14,-3.9,05:41,",17.3",92 
236,何咯,2019-04-03,5.6,14.4,14:05,-3,05:47,",17.4",93 
236,何咯,2019-04-04,7.1,16.5,14:24,-2.6,06:23,",19.1",94 
236,何咯,2019-04-05,9.7,18.7,15:30,2.9,23:33,",15.8",95 
236,何咯,2019-04-06,10.6,20.3,14:36,-0.5,06:06,",20.8",96 
236,何咯,2019-04-07,13.3,21.2,13:37,4.7,23:52,",16.5",97 
236,何咯,2019-04-08,10.8,19.6,14:55,0.8,06:12,",18.8",98 
236,何咯,2019-04-09,10.6,16.8,10:49,6,23:09,",10.8",99 
236,何咯,2019-04-10,7.6,10.4,15:53,5.4,24:00:00,",5",100 
236,何咯,2019-04-11,9,15.4,13:43,1.2,05:18,",14.2",101 
236,何咯,2019-04-12,9.4,18.2,13:46,1.5,05:57,",16.7",102 
236,何咯,2019-04-13,10,19,13:41,1.6,05:47,",17.4",103 
236,何咯,2019-04-14,8.6,15,15:41,2.8,23:59,",12.2",104 
236,何咯,2019-04-15,9.2,19.4,15:26,0.6,03:23,",18.8",105 
236,何咯,2019-04-16,12.5,23.7,15:19,0.5,06:13,",23.2",106 
236,何咯,2019-04-17,14.4,23.2,13:58,7.1,05:29,",16.1",107 
236,何咯,2019-04-18,13.9,20.7,11:58,6.3,06:09,",14.4",108 
236,何咯,2019-04-19,14.9,21.7,15:44,11.9,23:28,",9.8",109 
236,何咯,2019-04-20,16.2,22.3,14:39,10.9,04:43,",11.4",110 
236,何咯,2019-04-21,17,21.5,14:26,13.3,23:54,",8.2",111 
236,何咯,2019-04-22,18.9,29.6,16:04,10,05:55,",19.6",112 
236,何咯,2019-04-23,17.3,22.4,12:03,14.1,05:30,",8.3",113 
236,何咯,2019-04-24,17.1,22.1,17:23,14.6,23:57,",7.5",114 
236,何咯,2019-04-25,13.3,16,12:48,9.2,23:59,",6.8",115 
236,何咯,2019-04-26,9.4,11.1,11:57,8,04:21,",3.1",116 
236,何咯,2019-04-27,11.9,18.7,15:24,3.8,05:17,",14.9",117 
236,何咯,2019-04-28,12.8,18.4,16:55,9.6,06:02,",8.8",118 
236,何咯,2019-04-29,11,14.8,09:36,7.6,05:41,",7.2",119 
236,何咯,2019-04-30,14.6,21.9,16:25,7.8,05:56,",14.1",120 
236,何咯,2019-05-01,14.1,23.1,16:07,8.6,04:43,",14.5",121 
236,何咯,2019-05-02,14.5,24.1,15:04,8.7,06:28,",15.4",122 
236,何咯,2019-05-03,15.7,27.8,14:41,5.3,05:28,",22.5",123 
236,何咯,2019-05-04,17.4,28.3,15:13,7.1,05:41,",21.2",124 
236,何咯,2019-05-05,17.8,28,15:26,9.7,05:46,",18.3",125 
236,何咯,2019-05-06,13.6,19.5,15:00,6.2,23:46,",13.3",126 
236,何咯,2019-05-07,12.7,23.1,14:18,2.7,05:35,",20.4",127 
236,何咯,2019-05-08,13.6,22.3,14:07,4.2,05:22,",18.1",128 
236,何咯,2019-05-09,15.1,24.5,14:59,7.6,06:08,",16.9",129 
236,何咯,2019-05-10,16.1,28.3,15:42,4.6,05:29,",23.7",130 
236,何咯,2019-05-11,18.8,28.7,15:26,8.8,05:45,",19.9",131 
236,何咯,2019-05-12,19.5,28.8,14:31,10.9,04:47,",17.9",132 
236,何咯,2019-05-13,18.1,27.3,12:50,10.3,05:19,",17",133 
236,何咯,2019-05-14,19.5,27.5,14:49,12.4,05:17,",15.1",134 
236,何咯,2019-05-15,20.3,28.9,16:24,13.1,05:35,",15.8",135 
236,何咯,2019-05-16,22.2,30.8,15:24,14.8,04:18,",16",136 
236,何咯,2019-05-17,21.6,26.7,15:14,15.2,05:32,",11.5",137 
236,何咯,2019-05-18,19.2,23.5,11:30,16.3,05:08,",7.2",138 
236,何咯,2019-05-19,21.2,25.8,11:45,18.1,07:35,",7.7",139 
236,何咯,2019-05-20,16.1,20.2,13:02,9.6,23:39,",10.6",140 
236,何咯,2019-05-21,16.1,24.6,14:28,8.3,05:15,",16.3",141 
236,何咯,2019-05-22,18.5,26.8,15:47,9,05:32,",17.8",142 
236,何咯,2019-05-23,20.8,29.4,15:09,13,04:58,",16.4",143 
236,何咯,2019-05-24,21.5,31.2,14:15,13.5,05:36,",17.7",144 
236,何咯,2019-05-25,20.8,28.7,13:03,14.3,05:04,",14.4",145 
236,何咯,2019-05-26,23,31.1,12:40,14.8,04:29,",16.3",146 
236,何咯,2019-05-27,17,20.5,00:01,11.7,23:56,",8.8",147 
236,何咯,2019-05-28,16.8,24.4,16:38,10.5,05:02,",13.9",148 
236,何咯,2019-05-29,18.1,28.1,16:40,9.8,05:22,",18.3",149 
236,何咯,2019-05-30,18.5,26.6,12:54,11.7,02:40,",14.9",150 
236,何咯,2019-05-31,17.9,23,15:44,12.7,23:56,",10.3",151 
236,何咯,2019-06-01,17.3,25,16:04,10.5,04:30,",14.5",152 
236,何咯,2019-06-02,19.6,28.5,14:53,11.7,05:40,",16.8",153 
236,何咯,2019-06-03,21.3,30.9,16:21,12,05:34,",18.9",154 
236,何咯,2019-06-04,21.9,30,14:17,14.5,06:01,",15.5",155 
236,何咯,2019-06-05,21.9,29.4,14:16,16.9,02:20,",12.5",156 
236,何咯,2019-06-06,20.3,27,13:05,15.8,23:32,",11.2",157 
236,何咯,2019-06-07,18.6,21.7,18:43,15.9,00:01,",5.8",158 
236,何咯,2019-06-08,20.8,26.3,12:44,15.2,05:24,",11.1",159 
236,何咯,2019-06-09,21.4,27.2,14:25,17.2,04:59,",10",160 
236,何咯,2019-06-10,19.6,22.7,15:27,16,04:41,",6.7",161 
236,何咯,2019-06-11,19.9,24.5,12:48,15.4,23:53,",9.1",162 
236,何咯,2019-06-12,19.9,27.4,14:47,13.7,05:11,",13.7",163 
236,何咯,2019-06-13,22.1,30.3,14:11,14.7,05:27,",15.6",164 
236,何咯,2019-06-14,21.2,26,11:54,17.5,23:35,",8.5",165 
236,何咯,2019-06-15,20.5,27.5,14:10,14.6,05:35,",12.9",166 
236,何咯,2019-06-16,20.4,27.5,13:54,14.1,05:12,",13.4",167 
236,何咯,2019-06-17,20.9,27,14:16,15.8,05:11,",11.2",168 
236,何咯,2019-06-18,20.6,26.1,11:57,15.9,02:30,",10.2",169 
236,何咯,2019-06-19,22.1,27.3,14:03,17.9,04:08,",9.4",170 
236,何咯,2019-06-20,22.4,28.9,15:37,16.5,04:49,",12.4",171 
236,何咯,2019-06-21,23.6,29.1,16:36,18.3,04:29,",10.8",172 
236,何咯,2019-06-22,22.5,28.6,13:54,18.6,04:28,",10",173 
236,何咯,2019-06-23,23.6,30.6,16:18,18.4,00:40,",12.2",174 
236,何咯,2019-06-24,23.1,29.8,17:04,16.6,05:45,",13.2",175 
236,何咯,2019-06-25,24.3,33.1,15:29,15.8,05:12,",17.3",176 
236,何咯,2019-06-26,21.6,25,15:38,18.6,05:34,",6.4",177 
236,何咯,2019-06-27,24.1,28.6,13:02,20.3,00:01,",8.3",178 
236,何咯,2019-06-28,24,29.6,14:54,20.4,02:15,",9.2",179 
236,何咯,2019-06-29,21.6,22.6,11:08,20.7,05:21,",1.9",180 
236,何咯,2019-06-30,23.4,28,16:38,19.8,05:18,",8.2",181 
236,何咯,2019-07-01,22.9,27.8,14:56,17.3,23:59,",10.5",182 
236,何咯,2019-07-02,22,28.7,13:27,15.5,04:21,",13.2",183 
236,何咯,2019-07-03,22.6,29.8,16:22,16.8,04:46,",13",184 
236,何咯,2019-07-04,24,32.1,14:54,17.2,05:05,",14.9",185 
236,何咯,2019-07-05,25.4,34.4,14:01,17.6,05:40,",16.8",186 
236,何咯,2019-07-06,26.9,33.9,15:07,18.5,05:14,",15.4",187 
236,何咯,2019-07-07,25.4,30.7,14:57,21.2,05:11,",9.5",188 
236,何咯,2019-07-08,24.5,30.5,16:45,20.3,05:48,",10.2",189 
236,何咯,2019-07-09,24.5,29.4,16:38,19.1,05:46,",10.3",190 
236,何咯,2019-07-10,21,24,09:51,19.3,22:37,",4.7",191 
236,何咯,2019-07-11,21.4,24.3,16:24,19.4,00:20,",4.9",192 
236,何咯,2019-07-12,22.4,27.4,14:20,17.6,05:46,",9.8",193 
236,何咯,2019-07-13,22.8,27.6,13:13,20.1,02:16,",7.5",194 
236,何咯,2019-07-14,24.1,29.9,15:03,19.1,04:41,",10.8",195 
236,何咯,2019-07-15,23.6,27.6,11:41,20.1,03:20,",7.5",196 
236,何咯,2019-07-16,24.6,31,15:30,20,05:36,",11",197 
236,何咯,2019-07-17,25.3,30.4,12:38,21,02:37,",9.4",198 
236,何咯,2019-07-18,24.8,28.2,16:40,22.2,05:48,",6",199 
236,何咯,2019-07-19,26.8,30.5,14:27,23,06:03,",7.5",200 
236,何咯,2019-07-20,25.6,30.3,12:56,23.5,05:05,",6.8",201 
236,何咯,2019-07-21,24.9,27.3,13:48,22.3,02:14,",5",202 
236,何咯,2019-07-22,27.5,32.5,15:22,24.4,05:35,",8.1",203 
236,何咯,2019-07-23,27.9,32.4,13:39,25.5,03:15,",6.9",204 
236,何咯,2019-07-24,26.7,29.3,17:17,24.5,06:20,",4.8",205 
236,何咯,2019-07-25,26.1,28.3,14:28,25,20:45,",3.3",206 
236,何咯,2019-07-26,26.4,28.5,12:00,25.3,06:21,",3.2",207 
236,何咯,2019-07-27,26.6,31,16:27,25.1,03:33,",5.9",208 
236,何咯,2019-07-28,26.2,28.7,17:18,24.6,23:52,",4.1",209 
236,何咯,2019-07-29,27.8,32.4,15:13,23.1,05:47,",9.3",210 
236,何咯,2019-07-30,28.4,32.4,13:26,25.5,05:23,",6.9",211 
236,何咯,2019-07-31,28.2,32.1,13:18,25.6,23:38,",6.5",212 
236,何咯,2019-08-01,28.2,33.2,14:09,24.3,04:43,",8.9",213 
236,何咯,2019-08-02,29,35.4,15:17,23.4,05:34,",12",214 
236,何咯,2019-08-03,28.8,35.9,15:05,24.6,04:55,",11.3",215 
236,何咯,2019-08-04,28.7,35.5,15:18,24.1,05:29,",11.4",216 
236,何咯,2019-08-05,29.2,36.4,16:44,24.3,05:48,",12.1",217 
236,何咯,2019-08-06,29.1,33.7,15:49,25.4,05:12,",8.3",218 
236,何咯,2019-08-07,28.1,33.7,14:30,25,05:38,",8.7",219 
236,何咯,2019-08-08,27.6,33.4,15:22,24.5,02:30,",8.9",220 
236,何咯,2019-08-09,28.6,34.6,13:55,23.9,04:59,",10.7",221 
236,何咯,2019-08-10,30.2,35.7,15:19,24.7,03:20,",11",222 
236,何咯,2019-08-11,29.2,35.1,14:07,24.7,05:41,",10.4",223 
236,何咯,2019-08-12,27.1,30.6,12:50,24.7,05:02,",5.9",224 
236,何咯,2019-08-13,28.9,34.9,14:46,23.9,05:40,",11",225 
236,何咯,2019-08-14,29.9,34.9,14:40,25.2,05:54,",9.7",226 
236,何咯,2019-08-15,25.5,28.7,00:01,24.4,23:59,",4.3",227 
236,何咯,2019-08-16,26.5,30.7,14:30,23.2,22:40,",7.5",228 
236,何咯,2019-08-17,25.2,29.7,13:53,21.4,23:46,",8.3",229 
236,何咯,2019-08-18,23.8,30.8,16:12,19.5,07:34,",11.3",230 
236,何咯,2019-08-19,25.2,32,15:15,19.1,05:57,",12.9",231 
236,何咯,2019-08-20,27.1,32.6,15:50,22.3,04:49,",10.3",232 
236,何咯,2019-08-21,26.7,32.3,14:18,22.2,05:00,",10.1",233 
236,何咯,2019-08-22,25.6,31.4,13:50,20.8,22:39,",10.6",234 
236,何咯,2019-08-23,24,29.7,12:35,18.5,23:49,",11.2",235 
236,何咯,2019-08-24,22.2,27.7,14:36,17.5,02:33,",10.2",236 
236,何咯,2019-08-25,22.9,29.6,13:48,18.3,02:27,",11.3",237 
236,何咯,2019-08-26,24.7,31.6,14:59,17.6,03:35,",14",238 
236,何咯,2019-08-27,22.2,26.2,16:20,19.5,08:35,",6.7",239 
236,何咯,2019-08-28,23.7,28.4,14:05,20.9,00:45,",7.5",240 
236,何咯,2019-08-29,22.7,27.7,14:05,19.3,23:57,",8.4",241 
236,何咯,2019-08-30,21.8,28.1,14:58,18,23:29,",10.1",242 
236,何咯,2019-08-31,21.8,28.7,15:02,16.4,04:06,",12.3",243 
236,何咯,2019-09-01,22.2,28.3,14:50,17.1,04:46,",11.2",244 
236,何咯,2019-09-02,21.8,27.1,12:10,18.4,04:22,",8.7",245 
236,何咯,2019-09-03,22.1,24.2,17:48,20,01:46,",4.2",246 
236,何咯,2019-09-04,23.6,28.6,13:27,21.5,06:37,",7.1",247 
236,何咯,2019-09-05,23.4,28.2,12:39,21.4,03:50,",6.8",248 
236,何咯,2019-09-06,24.8,28.1,13:29,21.6,00:25,",6.5",249 
236,何咯,2019-09-07,25.4,28.9,09:52,22.8,19:42,",6.1",250 
236,何咯,2019-09-08,24.1,28.7,15:23,21.4,03:51,",7.3",251 
236,何咯,2019-09-09,23.5,24.8,15:24,22.3,06:04,",2.5",252 
236,何咯,2019-09-10,26.6,31,14:11,22.6,06:34,",8.4",253 
236,何咯,2019-09-11,24.8,29.6,14:22,23,06:15,",6.6",254 
236,何咯,2019-09-12,21.1,24.2,00:06,19.4,23:53,",4.8",255 
236,何咯,2019-09-13,22.7,29.2,15:09,18.3,06:19,",10.9",256 
236,何咯,2019-09-14,22.2,28,13:08,17.6,04:58,",10.4",257 
236,何咯,2019-09-15,24.3,30.7,15:44,19.4,05:53,",11.3",258 
236,何咯,2019-09-16,23.6,29.9,14:40,19.2,06:30,",10.7",259 
236,何咯,2019-09-17,22.3,30,15:51,16.8,06:22,",13.2",260 
236,何咯,2019-09-18,20.4,28.4,14:03,12,23:46,",16.4",261 
236,何咯,2019-09-19,18.8,27,16:09,11,02:44,",16",262 
236,何咯,2019-09-20,19.3,24.2,11:48,15.7,04:39,",8.5",263 
236,何咯,2019-09-21,17.4,19.4,08:50,15.5,23:16,",3.9",264 
236,何咯,2019-09-22,16.5,17.9,21:36,15.2,03:22,",2.7",265 
236,何咯,2019-09-23,18,24.1,14:24,12.8,23:47,",11.3",266 
236,何咯,2019-09-24,17.2,25.9,16:16,11.1,03:53,",14.8",267 
236,何咯,2019-09-25,17.9,24.3,12:47,11.1,06:40,",13.2",268 
236,何咯,2019-09-26,20.1,25.7,15:03,16.2,05:15,",9.5",269 
236,何咯,2019-09-27,22.2,29.5,15:51,16.3,01:28,",13.2",270 
236,何咯,2019-09-28,22.8,29.5,15:38,18,06:47,",11.5",271 
236,何咯,2019-09-29,21.2,28.7,15:56,15.9,23:48,",12.8",272 
236,何咯,2019-09-30,20.7,28.8,15:08,13.4,05:47,",15.4",273 
236,何咯,2019-10-01,20.7,25.2,12:16,16.6,04:32,",8.6",274 
236,何咯,2019-10-02,20.6,21.8,00:35,20.1,22:38,",1.7",275 
236,何咯,2019-10-03,23,28.5,15:26,19.9,00:56,",8.6",276 
236,何咯,2019-10-04,21.3,27.4,15:52,18.4,23:17,",9",277 
236,何咯,2019-10-05,18.8,23.2,14:49,14.6,22:46,",8.6",278 
236,何咯,2019-10-06,18.1,23.3,14:37,14.6,00:34,",8.7",279 
236,何咯,2019-10-07,15.3,16.6,00:01,14.5,06:05,",2.1",280 
236,何咯,2019-10-08,14.5,22.6,13:49,7.2,24:00:00,",15.4",281 
236,何咯,2019-10-09,12.4,21.7,15:42,4.5,06:24,",17.2",282 
236,何咯,2019-10-10,14.6,21.1,14:04,8.7,04:10,",12.4",283 
236,何咯,2019-10-11,17.5,25.1,15:02,10.4,04:24,",14.7",284 
236,何咯,2019-10-12,18.7,24.8,15:38,14.3,06:30,",10.5",285 
236,何咯,2019-10-13,16.2,23.9,14:46,10.7,07:00,",13.2",286 
236,何咯,2019-10-14,12.9,20,13:04,6.2,23:58,",13.8",287 
236,何咯,2019-10-15,12.4,21.1,16:16,4.6,03:22,",16.5",288 
236,何咯,2019-10-16,13.1,21,14:38,7.8,06:04,",13.2",289 
236,何咯,2019-10-17,14,20.9,15:57,10.2,02:07,",10.7",290 
236,何咯,2019-10-18,15.1,22.3,14:15,9,02:06,",13.3",291 
236,何咯,2019-10-19,14.7,22.8,14:41,8.2,06:39,",14.6",292 
236,何咯,2019-10-20,14.2,23,15:39,9.4,03:55,",13.6",293 
236,何咯,2019-10-21,14.4,23.3,14:41,7.1,06:50,",16.2",294 
236,何咯,2019-10-22,15.9,23.9,14:40,9.6,03:50,",14.3",295 
236,何咯,2019-10-23,16.1,19.3,12:31,11.9,02:13,",7.4",296 
236,何咯,2019-10-24,18.5,23.8,14:49,13.7,07:02,",10.1",297 
236,何咯,2019-10-25,16.9,23.4,12:32,10.8,04:19,",12.6",298 
236,何咯,2019-10-26,11.6,16.7,13:33,6.1,23:51,",10.6",299 
236,何咯,2019-10-27,8.8,17.8,14:46,2.7,06:29,",15.1",300 
236,何咯,2019-10-28,10.7,18.2,14:20,2.8,04:08,",15.4",301 
236,何咯,2019-10-29,12.7,18.6,14:50,6.2,23:47,",12.4",302 
236,何咯,2019-10-30,9.2,17.7,15:28,2.7,07:05,",15",303 
236,何咯,2019-10-31,11.3,20.1,13:50,4.4,03:38,",15.7",304 
236,何咯,2019-11-01,13.5,21.6,14:59,7.2,23:58,",14.4",305 
236,何咯,2019-11-02,11.5,19.7,15:49,4.4,06:18,",15.3",306 
236,何咯,2019-11-03,13.4,21.6,16:12,8.6,03:39,",13",307 
236,何咯,2019-11-04,12.7,20.7,14:26,7.3,23:59,",13.4",308 
236,何咯,2019-11-05,9.7,19.3,14:35,3.8,06:04,",15.5",309 
236,何咯,2019-11-06,9.5,17.8,15:30,5,06:35,",12.8",310 
236,何咯,2019-11-07,8.9,17.2,13:55,2.2,23:40,",15",311 
236,何咯,2019-11-08,5.2,14.6,14:56,-2,07:04,",16.6",312 
236,何咯,2019-11-09,6.5,17.9,14:30,-2,06:30,",19.9",313 
236,何咯,2019-11-10,8.3,15.2,14:23,1.5,03:32,",13.7",314 
236,何咯,2019-11-11,11,17.5,14:17,4.9,23:55,",12.6",315 
236,何咯,2019-11-12,7.8,17.2,15:12,2.6,04:44,",14.6",316 
236,何咯,2019-11-13,7.3,12.5,18:00,2.8,03:45,",9.7",317 
236,何咯,2019-11-14,2.9,7.9,00:01,-2.6,23:45,",10.5",318 
236,何咯,2019-11-15,8.7,17,13:19,-2.7,01:49,",19.7",319 
236,何咯,2019-11-16,12.2,18.7,14:49,6.9,23:52,",11.8",320 
236,何咯,2019-11-17,9.8,14.9,22:39,6,01:18,",8.9",321 
236,何咯,2019-11-18,7.5,14,00:01,2.6,20:57,",11.4",322 
236,何咯,2019-11-19,2.5,5.7,15:13,-1.3,23:56,",7",323 
236,何咯,2019-11-20,1.7,8.5,14:34,-2.3,23:44,",10.8",324 
236,何咯,2019-11-21,4.5,11.6,15:39,-3.8,03:24,",15.4",325 
236,何咯,2019-11-22,8.6,18.1,14:37,0.8,07:05,",17.3",326 
236,何咯,2019-11-23,10,19.3,15:39,1.6,06:43,",17.7",327 
236,何咯,2019-11-24,11.7,20.6,13:51,5.2,07:29,",15.4",328 
236,何咯,2019-11-25,3.7,8.7,00:01,1,23:44,",7.7",329 
236,何咯,2019-11-26,7.7,15,15:06,-0.5,05:34,",15.5",330 
236,何咯,2019-11-27,5.7,8.7,00:01,0.5,23:03,",8.2",331 
236,何咯,2019-11-28,3.8,12.3,14:58,-2.6,05:40,",14.9",332 
236,何咯,2019-11-29,1.6,10,14:49,-4.7,07:19,",14.7",333 
236,何咯,2019-11-30,3.6,12.1,15:26,-4.4,04:41,",16.5",334 
236,何咯,2019-12-01,5.5,7.2,11:33,3.4,07:08,",3.8",335 
236,何咯,2019-12-02,3.6,8.2,13:27,0.8,23:55,",7.4",336 
236,何咯,2019-12-03,1.8,7.4,14:00,-2.3,07:04,",9.7",337 
236,何咯,2019-12-04,4.5,10.5,14:04,-1.3,01:00,",11.8",338 
236,何咯,2019-12-05,-0.4,4,13:17,-5.1,23:49,",9.1",339 
236,何咯,2019-12-06,-4,2.4,13:50,-8.9,07:01,",11.3",340 
